entity_name,entity_type,entity_variant,event_count
In vivo,model,unknown,172
SERUM,model,biofluid,131
PLASMA,model,biofluid,99
MOUSE,model,organism,161
HUMAN,model,organism,122
differentiation,stem_cell,,81
In vitro,model,unknown,59
reprogramming,stem_cell,,55
neurons,neural_cell,unknown,136
DOGS,model,unknown,41
BLOOD,model,biofluid,39
Mitochondria,model,unknown,39
Mitochondrial,model,unknown,37
TISSUE,model,unknown,36
stem cell,stem_cell,,36
METFORMIN,compound,drug,32
RECEPTOR,target,protein,31
NANOG,target,protein,30
OCT4,target,protein,30
pluripotent,stem_cell,,29
TUMOR,model,unknown,28
SOX2,target,protein,27
iPSC,stem_cell,,44
MSC,stem_cell,,46
organoid,model,,25
Organoid,model,3d_model,23
Xenograft,model,unknown,21
Skeletal muscle,model,unknown,20
Transgenic,model,unknown,18
DOG,model,organism,16
QUERCETIN,compound,drug,15
KINASE,target,protein,15
AMPK,target,protein,14
MMP3,target,protein,14
astrocytes,neural_cell,,33
Drosophila,model,organism,12
MTOR,target,protein,12
HSC,model,unknown,11
K562,model,cell_line,10
ACE,target,protein,10
CAT,target,protein,10
CHO,model,unknown,9
DMEM,model,unknown,9
In situ,model,unknown,9
MYC,target,protein,8
FBS,model,unknown,13
Hek293,model,cell_line,7
Macrophages,model,unknown,7
ESC,stem_cell,unknown,7
CASPASE,target,protein,7
PHOSPHATASE,target,protein,7
SIRT6,target,protein,7
RESVERATROL,compound,drug,6
BSA,model,unknown,6
Knockout,model,unknown,6
ERK1,target,protein,6
NLRP3,target,protein,6
SYNTHASE,target,protein,6
TNF,target,protein,6
NAD+,compound,drug,5
Bovine serum albumin,model,unknown,5
CSF,model,biofluid,5
Rabbit,model,organism,5
T cells,model,unknown,5
mesenchymal,stem_cell,,5
stem-cell,stem_cell,,5
IL-6,target,protein,5
GLUCAGON,compound,drug,4
SPERMIDINE,compound,drug,4
B cells,model,unknown,4
Bone marrow,model,unknown,4
Cytoplasm,model,unknown,4
Endothelial cells,model,unknown,4
MEM,model,unknown,4
Primate,model,organism,4
Primates,model,unknown,4
RAT,model,organism,8
URINE,model,biofluid,4
AKT,target,protein,4
LC3,target,protein,4
P53,target,protein,4
SIRT1,target,protein,4
TLR4,target,protein,4
Extract,model,unknown,3
F12,model,cell_line,3
Fibroblasts,model,unknown,3
Hepatocytes,model,unknown,3
BDNF,target,protein,3
ERK,target,protein,3
FOXO3,target,protein,3
FURIN,target,protein,3
P62,target,protein,3
TRANSPORTER,target,protein,3
APIGENIN,compound,drug,2
DULAGLUTIDE,compound,drug,2
EVEROLIMUS,compound,drug,2
A549,model,cell_line,2
Cardiomyocytes,model,unknown,2
Cytoplasmic,model,unknown,2
Ex vivo,model,unknown,2
Jurkat,model,unknown,2
MDCK,model,unknown,2
Monocytes,model,unknown,2
RPMI,model,unknown,2
SW480,model,cell_line,2
U937,model,cell_line,2
White adipose tissue,model,unknown,2
Xenografts,model,unknown,2
Zebrafish,model,organism,2
Hippocampal neurons,neural_cell,unknown,2
microglia,neural_cell,unknown,4
CASP1,target,protein,2
HSP90,target,protein,2
KLF4,target,protein,2
NF-ΚB,target,protein,2
NFKB,target,protein,2
P21,target,protein,2
PI3K,target,protein,2
RENIN,target,protein,2
SOD1,target,protein,2
SQSTM1,target,protein,2
TNFA,target,protein,2
TRANSFERASE,target,protein,2
CURCUMIN,compound,drug,1
DEXAMETHASONE,compound,drug,1
EXENATIDE,compound,drug,1
FISETIN,compound,drug,1
LIRAGLUTIDE,compound,drug,1
NMN,compound,drug,1
SEMAGLUTIDE,compound,drug,1
SULFORAPHANE,compound,drug,1
Adipocytes,model,unknown,1
Brown adipose tissue,model,unknown,1
HELA,model,unknown,1
HEPG2,model,cell_line,1
HESC,model,unknown,1
Hct116,model,cell_line,1
LYSATE,model,unknown,1
MCF-7,model,cell_line,1
Nude mice,model,unknown,1
Organoids,model,3d_model,1
PBMC,model,unknown,1
PC3,model,cell_line,1
PIGS,model,unknown,1
Pancreatic islets,model,unknown,1
SCID,model,unknown,1
Serum-free medium,model,cell_line,1
Smooth muscle cells,model,unknown,1
Splenocytes,model,unknown,1
ALLEVIATE,peptide,,1
ANDRISINGFAST,peptide,,1
CELLSIGNALING,peptide,,1
DERIVATIVES,peptide,,1
HYPERTENSIVE,peptide,,1
IDENTITY,peptide,,1
INDICATED,peptide,,1
SAMPLEHEATING,peptide,,1
VISCERALFAT,peptide,,1
EGFR,target,protein,1
FOXO1,target,protein,1
GLP-1R,target,protein,1
GPX1,target,protein,1
IL6,target,protein,1
INSR,target,protein,1
JNK,target,protein,1
NRF2,target,protein,1
PDK1,target,protein,1
PEPTIDASE,target,protein,1
PROTEINASE,target,protein,1
REDUCTASE,target,protein,1
SOD2,target,protein,1
TLR9,target,protein,1
TNF-Α,target,protein,1
TRYPSIN,target,protein,1
UBIQUITIN,target,protein,1
