pdf_name,page,confidence,event_type,trigger_terms,sentence
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,8,low,building_physics_performance,dew point,"Dew Point Temperature is the temperature La température du point de rosée est celle at which an air parcel will become saturated à laquelle une particule d'air devient saturée de with water vapour if cooled at constant vapeur d'eau quand on la refroidit à pression pressure without adding or removing water constante, sans ajouter ni retirer de vapeur vapour."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,8,low,building_physics_performance,dew point,"La température du point de temperature sensing unit, dew point values are rosée, aux stations équipées de cellules télé-"
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,8,low,building_physics_performance,dew point,The dew point temperature is obtained d'eau.
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,med,building_physics_performance,dew point|number,"At 100% relative Plus la température du point de rosée se humidity the dew point temperature and the rapproche de celle du thermomètre sec, plus la dry bulb temperature are the same."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,"L'humidité temperature sensing unit, relative humidity relative, aux stations équipées de cellules values are obtained from the dry bulb and dew télédétectrices du point de rosée, est point values with the aid of auxiliary tables."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,"Quand on chauffe une and conversely, if the parcel is cooled under particule d'air sans y ajouter ni en retirer de the same conditions, the relative humidity vapeur d'eau, l'humidité relative décroît et, increases."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,Relative Humidity is the ratio of the actual L'humidité relative est le rapport entre la amount of water vapour present in a given quantité réelle de vapeur d'eau présente dans parcel of air to the maximum amount that the une particule d'air donnée et la quantité parcel is capable of holding at a given tempera- maximale que cette particule peut contenir à ture and pressure.
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,dew point|ach,"Standard Deviation (Dew Point L'écart type (température du point de Temperature) gives an indication of the year- rosée) donne une idée de la variabilité annuelle to-year variability of the average dew point de la température moyenne du point de rosée à temperature, at the selected hour, for each l'heure choisie et pour chaque mois."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,The relative humidity is température et pression données.
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,"When a parcel of air is température, même si la quantité réelle de heated, without the addition or removal of vapeur d'eau présente dans une particulé d'air water vapour, the relative humidity decreases reste constante."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,relative humidity,"déterminée à partir de la température du thermomètre sec et de celle du point de rosée, The relative humidity changes with the air avec l'aide de tables."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,med,building_physics_performance,dew point|number,"ib% une dry bulb/dew point difference is small, some of humidité relative de 100%, la température du the internai water vapour condenses to form point de rosée et celle du thermomètre sec liquid water droplets known as fog or cloud."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,dew point,"inversement, si l'on refroidit cette particule dans les mêmes conditions, l'humidité relative The closer the dew point temperature is to s'accroît."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,9,low,building_physics_performance,moisture,"the dry bulb temperature, the higher the relative moisture content of the air."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,10,low,building_physics_performance,relative humidity,Le rapport entre la tension de vapour pressure is another way of defining the vapeur réelle et la tension de vapeur saturante relative humidity of an air mass.
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,10,low,building_physics_performance,moisture,"atmospheric moisture, a diurnal variation is also evident."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,10,low,building_physics_performance,relative humidity,"des molécules omniprésentes de vapeur Relative humidity, vapour pressure, and invisible."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,10,low,building_physics_performance,dew point|moisture,"dew point temperature are a few terms used in L'humidité relative, la tension de vapeur et meteorology to help quantify atmospheric la température du point de rosée sont quelques moisture."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,10,low,building_physics_performance,moisture,"À proprement parler, l'humidité humidities do tend to be higher in winter than relative tend effectivement à être plus élevée in summer while absolute humidities (actual en hiver qu'en été, tandis que dans le cas de moisture content) are usually the opposite."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,med,building_physics_performance,relative humidity|number|units,(cid:9) Ecert type (Oc) Relative Humidity 79 (cid:9) al (cid:9) 80 (cid:9) 62 (cid:9) 49 (cid:9) 52 (cid:9) 31 (cid:9) 50 (cid:9) 57 (cid:9) 64 (cid:9) 78 (cid:9) 81 (cid:9) 60 (cid:9) Humidité relative 1%) Vapour Pressure IkPa) 0.17 (cid:9) 0.24 (cid:9) 0.37 (cid:9) 0.56 (cid:9) 0.79 (cid:9) 1.15 (cid:9) 1.39 (cid:9) 1.24 (cid:9) 0.89 (cid:9) 0.60 (cid:9) 0.37 (cid:9) 0.24 (cid:9) 0:67 (cid:9) Pression de vapeur IkPal Standard °aviation (kPa) ' 0.06 (cid:9) 0.08 (cid:9) 0.07 (cid:9) 0.09 (cid:9) 0.11 (cid:9) 0.13 (cid:9) 0.20 (cid:9) 0.15 (cid:9) 0.13 (cid:9) 0.07 (cid:9) 0.07 (cid:9) 0.07 (cid:9) Ecart type litPe/
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,med,building_physics_performance,dew point|number,"3 0 (cid:9) (cid:9) T T h h e e r r m m o o m m è è t t r r e e s m ec o P u X ill / é ni Dew Point In/ -20.1 (cid:9) -14.8 (cid:9) -8.6 (cid:9) '-1.9 (cid:9) 2.7 (cid:9) 8.5 (cid:9) 11.3 (cid:9) 9.7 (cid:9) 4.6 ' -0.9 (cid:9) -8.4 (cid:9) -15.0 (cid:9) -2.7 (cid:9) Point de rosée le Standard Deviation 1,01 4.5 (cid:9) 4.2 (cid:9) 3.0 (cid:9) .2.2 (cid:9) 2.0 (cid:9) 1.8 (cid:9) 2.1 (cid:9) 1,8 (cid:9) 2.2 (cid:9) 1.6- (cid:9) 3.3 (cid:9) 4.2 ."
d558418180cd10045eab4512f65efc4f1dff78fb863d5131b3b14c1c684b91ba.pdf,11,low,building_physics_performance,relative humidity|moisture,"Comme la température de result, the moisture content relative to the l'air est habituellement plus basse pendant la maximum possible at a g iven temperature, that nuit, sa capacité hygrométrique est réduite is, the relative humidity, is higher."
