path,pdf_name,source,pages,sentences,total_hits,hits_per_page,dominant_lens,lens_distribution
cache/rss/Handbook_of_Materials_Failure_Analysis.pdf,Handbook_of_Materials_Failure_Analysis.pdf,gold_corpus,374,6580,511,1.3663101604278074,failure,building_physics=15; climate=39; compliance=69; failure=263; insurance_risk=49; materials=76
cache/rss/GOVPUB-C13-ceefee8ac748574856d8ae9ea1cf2d70.pdf,GOVPUB-C13-ceefee8ac748574856d8ae9ea1cf2d70.pdf,gold_corpus,154,1598,229,1.4870129870129871,failure,building_physics=8; climate=6; compliance=48; failure=88; insurance_risk=59; materials=20
cache/rss/failure-bridge-pdf.pdf,failure-bridge-pdf.pdf,gold_corpus,148,4030,200,1.3513513513513513,failure,climate=19; compliance=14; failure=151; insurance_risk=13; materials=3
cache/rss_organized/construction_science/review/2b5606172a92e5e196cd19924fc40136fca2b8f8b5fe8102723378ffd06182cc.pdf,2b5606172a92e5e196cd19924fc40136fca2b8f8b5fe8102723378ffd06182cc.pdf,review_bucket,73,1214,163,2.232876712328767,compliance,building_physics=1; climate=41; compliance=92; failure=4; insurance_risk=25
cache/rss/JCE-72-2020-7-3-3234-EN.pdf,JCE-72-2020-7-3-3234-EN.pdf,gold_corpus,20,528,157,7.85,failure,building_physics=1; climate=10; compliance=9; failure=114; insurance_risk=16; materials=7
cache/rss_organized/construction_science/review/2dde384a14b65d042c95137393235cfce551cbd627d2f4d9e47ef3cbfa0eadde.pdf,2dde384a14b65d042c95137393235cfce551cbd627d2f4d9e47ef3cbfa0eadde.pdf,review_bucket,52,826,147,2.826923076923077,climate,climate=67; compliance=17; failure=8; insurance_risk=55
cache/rss_organized/construction_science/review/169290921ca7db54b27948ad6e4296f423ddd20da94a9a877037302935c07b31.pdf,169290921ca7db54b27948ad6e4296f423ddd20da94a9a877037302935c07b31.pdf,review_bucket,29,369,125,4.310344827586207,compliance,climate=41; compliance=63; failure=1; insurance_risk=20
cache/rss_organized/construction_science/review/38bf5661beecf9f292627752ddd62454ba59d2cc88f7d8596ba2274ace909c00.pdf,38bf5661beecf9f292627752ddd62454ba59d2cc88f7d8596ba2274ace909c00.pdf,review_bucket,39,567,119,3.051282051282051,climate,building_physics=16; climate=34; compliance=23; failure=25; insurance_risk=21
cache/rss/df3719b603c42590735c52e1a48f00b7.pdf,df3719b603c42590735c52e1a48f00b7.pdf,gold_corpus,30,623,116,3.8666666666666667,building_physics,building_physics=87; materials=29
cache/rss/Bridge Failure Rates Consequences and Predictive Trends.pdf,Bridge Failure Rates Consequences and Predictive Trends.pdf,gold_corpus,116,1699,74,0.6379310344827587,failure,climate=7; compliance=18; failure=35; insurance_risk=14
cache/rss_organized/construction_science/review/2a7d1ff9db5e9c35e2925e77fb90fcb0254f8338ea18b832ed0865fc4e00b0cf.pdf,2a7d1ff9db5e9c35e2925e77fb90fcb0254f8338ea18b832ed0865fc4e00b0cf.pdf,review_bucket,46,528,66,1.434782608695652,building_physics,building_physics=46; climate=4; compliance=11; failure=1; insurance_risk=3; materials=1
cache/rss/building-physics.pdf,building-physics.pdf,gold_corpus,28,416,52,1.8571428571428572,building_physics,building_physics=25; climate=7; compliance=2; failure=12; insurance_risk=5; materials=1
cache/rss_organized/construction_science/review/2d20260e5f6ef912fc759411979b4659f7fbe973fc944bdcf24bd46de088bc4a.pdf,2d20260e5f6ef912fc759411979b4659f7fbe973fc944bdcf24bd46de088bc4a.pdf,review_bucket,18,60,52,2.888888888888889,climate,building_physics=4; climate=14; compliance=10; failure=10; insurance_risk=13; materials=1
cache/rss_organized/construction_science/review/983e233b0cc823b4f795cd3ff293c166a77d7f87e0ed074aa508a32a33363ea7.pdf,983e233b0cc823b4f795cd3ff293c166a77d7f87e0ed074aa508a32a33363ea7.pdf,review_bucket,5,141,48,9.6,building_physics,building_physics=21; climate=5; compliance=3; failure=16; insurance_risk=3
cache/rss/ad1e8631b8e7330c060cbe696de79fe0.pdf,ad1e8631b8e7330c060cbe696de79fe0.pdf,gold_corpus,30,375,44,1.4666666666666666,building_physics,building_physics=32; materials=12
cache/rss/buildin_physics_heat_air_leseprobe.pdf,buildin_physics_heat_air_leseprobe.pdf,gold_corpus,34,204,39,1.1470588235294117,building_physics,building_physics=25; climate=8; compliance=1; failure=1; insurance_risk=2; materials=2
cache/rss_organized/construction_science/review/a369e8cb924d54af2c99a886fc5d4290bf5a8850325f526c7aef4f97759e88cb.pdf,a369e8cb924d54af2c99a886fc5d4290bf5a8850325f526c7aef4f97759e88cb.pdf,review_bucket,94,180,35,0.3723404255319149,climate,building_physics=5; climate=13; compliance=4; failure=3; insurance_risk=10
cache/rss/dunn_failure_report_10-05.pdf,dunn_failure_report_10-05.pdf,gold_corpus,17,252,30,1.7647058823529411,failure,failure=29; materials=1
"cache/rss/S02-032 - Bridge Failures - Causes, Analysis & Lessons Learned - R1.pdf","S02-032 - Bridge Failures - Causes, Analysis & Lessons Learned - R1.pdf",gold_corpus,20,347,27,1.35,failure,climate=2; failure=24; insurance_risk=1
cache/rss_organized/construction_science/review/0526ff72076551e1567d2d55e708d3dc6d97b308c60cd62ef9d13f6370e01661.pdf,0526ff72076551e1567d2d55e708d3dc6d97b308c60cd62ef9d13f6370e01661.pdf,review_bucket,23,79,26,1.1304347826086956,climate,building_physics=1; climate=14; compliance=1; failure=3; insurance_risk=6; materials=1
cache/rss_organized/construction_science/review/252e4ab9929c1684131f0518536f8959c3cf137a596af23ca28d15ca8f728726.pdf,252e4ab9929c1684131f0518536f8959c3cf137a596af23ca28d15ca8f728726.pdf,review_bucket,4,64,26,6.5,insurance_risk,climate=9; compliance=5; insurance_risk=11; materials=1
cache/rss_organized/construction_science/review/3585327826a50f27ed8f677d41eea9a0bf89978333c5538a8184df746f1a6814.pdf,3585327826a50f27ed8f677d41eea9a0bf89978333c5538a8184df746f1a6814.pdf,review_bucket,5,67,26,5.2,insurance_risk,climate=8; failure=3; insurance_risk=15
cache/rss_organized/construction_science/review/3dab931e00c7904e7c981fe2b37e43ec1baf2beb3d7a216b09e871ea133ea4e8.pdf,3dab931e00c7904e7c981fe2b37e43ec1baf2beb3d7a216b09e871ea133ea4e8.pdf,review_bucket,7,90,24,3.4285714285714284,insurance_risk,climate=6; compliance=1; failure=3; insurance_risk=14
cache/rss_organized/construction_science/review/3215854a0e84f80ce3d75738378a95f904dc29f222dcc29d2be9d976c9a048bf.pdf,3215854a0e84f80ce3d75738378a95f904dc29f222dcc29d2be9d976c9a048bf.pdf,review_bucket,16,37,17,1.0625,compliance,compliance=17
cache/rss_organized/construction_science/review/22a9de29fdc815ceb5f4564927563404272459a3aa574a958ce3a08b33ceec85.pdf,22a9de29fdc815ceb5f4564927563404272459a3aa574a958ce3a08b33ceec85.pdf,review_bucket,5,62,15,3.0,insurance_risk,compliance=2; failure=4; insurance_risk=9
