pdf_name,pages,sentences,total_hits,dominant_lens,scan_error,building_physics_hits,climate_hits,compliance_hits,failure_hits,insurance_risk_hits,materials_hits
Handbook_of_Materials_Failure_Analysis.pdf,374,6580,562,failure,0,15,39,69,263,49,127
df3719b603c42590735c52e1a48f00b7.pdf,30,623,116,building_physics,0,87,0,0,0,0,29
4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,44,695,9,materials,0,0,0,0,0,0,9
9f43eb70b869170202fcc4db3177d048_emech7_04.pdf,19,286,15,materials,0,0,0,1,5,2,7
building-physics.pdf,28,416,54,building_physics,0,25,7,2,12,5,3
buildin_physics_heat_air_leseprobe.pdf,34,204,39,building_physics,0,25,8,1,1,2,2
ad1e8631b8e7330c060cbe696de79fe0.pdf,30,375,44,building_physics,0,32,0,0,0,0,12
547c9f48c4ff3e9c42eef62cdbf8addab65cda1bc6c84d6304eec43e0bb89a4a.pdf,1,21,12,building_physics,0,5,0,1,3,3,0
GOVPUB-C13-ceefee8ac748574856d8ae9ea1cf2d70.pdf,154,1598,234,failure,0,8,6,48,88,59,25
JCE-72-2020-7-3-3234-EN.pdf,20,528,166,failure,0,1,10,9,114,16,16
