pdf_name,pages,sentences,total_hits,dominant_lens,scan_error,building_physics_hits,materials_hits,failure_hits,climate_hits
169290921ca7db54b27948ad6e4296f423ddd20da94a9a877037302935c07b31.pdf,29,369,41,climate,0,0,0,0,41
1846177728616d7b3fe9007e123a84eca298fbd34590dcd8cb081b12d7aba24f.pdf,3,35,2,materials,0,0,2,0,0
21b4ec6e220523a7b3344caaccd2a26b.pdf,20,330,1,failure,0,0,0,1,0
21fd9c59831f5d7bfddbe454d88fd6920fffe51350f44d069f2e9c6dbc23e2e4.pdf,4,119,3,failure,0,0,0,2,1
22a9de29fdc815ceb5f4564927563404272459a3aa574a958ce3a08b33ceec85.pdf,5,62,4,failure,0,0,0,4,0
2452e7c91937555019b5c415e56fad61e08cb8cf901eaaa2e6b9c591eed73923.pdf,4,44,3,climate,0,0,1,0,2
252e4ab9929c1684131f0518536f8959c3cf137a596af23ca28d15ca8f728726.pdf,4,64,11,climate,0,0,1,1,9
2a7d1ff9db5e9c35e2925e77fb90fcb0254f8338ea18b832ed0865fc4e00b0cf.pdf,46,528,53,building_physics,0,46,3,0,4
2d20260e5f6ef912fc759411979b4659f7fbe973fc944bdcf24bd46de088bc4a.pdf,18,60,29,climate,0,4,5,6,14
2db6ff303f4d75fc7726f606ad673ff7.pdf,12,801,0,,0,0,0,0,0
3585327826a50f27ed8f677d41eea9a0bf89978333c5538a8184df746f1a6814.pdf,5,67,9,climate,0,0,0,1,8
38bf5661beecf9f292627752ddd62454ba59d2cc88f7d8596ba2274ace909c00.pdf,39,567,58,climate,0,16,6,2,34
3dab931e00c7904e7c981fe2b37e43ec1baf2beb3d7a216b09e871ea133ea4e8.pdf,7,90,7,climate,0,0,0,1,6
4495ac97ac2ed5565028e6154ffa2d89fffdd5fbd4109344799b1d139db450ed.pdf,3,46,2,climate,0,0,0,0,2
4810182eb3e93c8ff4aeda9388343314d4bfd2a75dd9bb37afd6df0e96b63c00.pdf,2,104,0,,0,0,0,0,0
4a57a0b7b1c0bc79f2834dc1f2002f3a.pdf,44,695,10,materials,0,0,9,1,0
547c9f48c4ff3e9c42eef62cdbf8addab65cda1bc6c84d6304eec43e0bb89a4a.pdf,1,21,6,building_physics,0,5,0,1,0
6240979c66613bad760b71970bb2cd6c31ff13cc8a3f863d3173feb5b30d279a.pdf,4,53,8,climate,0,0,1,0,7
983e233b0cc823b4f795cd3ff293c166a77d7f87e0ed074aa508a32a33363ea7.pdf,5,141,36,building_physics,0,21,0,10,5
9ac37f2ed5faed82b1685ee50ae271efbf0d98b46788043d514abe94d2a0d047.pdf,3,36,3,climate,0,0,0,0,3
a4b2d402ef821240642f7dd5653173a0c3f85dbbd3bf26d650719c1088a993a8.pdf,1,19,4,building_physics,0,3,0,1,0
ad1e8631b8e7330c060cbe696de79fe0.pdf,30,375,54,building_physics,0,32,22,0,0
b3535df06322676ebb6b5f2efe98e95498e288d98480435be6d43070465696f0.pdf,2,10,5,climate,0,0,0,2,3
b8a7922388b77534b9b4a266158d7a87fa821c3b6f140d9da87b00bcb733e9fc.pdf,2,50,3,climate,0,0,0,0,3
buildin_physics_heat_air_leseprobe.pdf,34,204,36,building_physics,0,25,3,0,8
