entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
assay,LC-MS,assay,primary,85,7,LC-MS; LC-MS/MS; QTOF; mass spectrometer; mass spectrometry; triple quadrupole,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:55Z,2026-01-22T20:09:22Z
pathway,AGGREGATION,pathway,primary,24,5,aggregation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:03Z,2026-01-22T20:09:23Z
assay,HPLC,assay,primary,19,5,HPLC; RP-HPLC; liquid chromatography,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:55Z,2026-01-22T20:09:23Z
stem_cell,MSC,,primary,11,1,MSC,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:14Z,2026-01-22T20:09:19Z
compound,SEMAGLUTIDE,drug,primary,10,2,SEMAGLUTIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:32Z,2026-01-22T20:09:12Z
pathway,PEPTIDE DEGRADATION,pathway,primary,9,2,peptide degradation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:55Z,2026-01-22T20:09:19Z
target,KINASE,protein,primary,8,2,KINASE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:16Z,2026-01-22T20:08:46Z
indication,CANCER,disease,primary,8,4,cancer,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:05Z,2026-01-22T20:09:22Z
compound,GLUCAGON,drug,primary,8,3,GLUCAGON,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:09:12Z
compound,LIRAGLUTIDE,drug,primary,7,5,LIRAGLUTIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:06Z,2026-01-22T20:09:11Z
pathway,ACETYLATION,pathway,primary,7,2,acetylation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:18Z,2026-01-22T20:09:23Z
target,RECEPTOR,protein,primary,6,4,RECEPTOR,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:14Z,2026-01-22T20:09:12Z
assay,efficacy,metric,primary,6,3,efficacy,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:42Z,2026-01-22T20:09:14Z
indication,ALZHEIMER,disease,primary,6,2,Alzheimer; Alzheimer's disease,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:31Z,2026-01-22T20:09:08Z
assay,MS/MS,assay,primary,4,3,MS/MS,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:59Z,2026-01-22T20:09:23Z
assay,half-life,metric,primary,4,2,half-life,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:16Z,2026-01-22T20:09:05Z
pathway,PHOSPHORYLATION,pathway,primary,4,2,phosphorylation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:13Z,2026-01-22T20:08:58Z
model,Culture media,unknown,primary,4,2,Culture media,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:56Z,2026-01-22T20:09:18Z
pathway,migration,pathway,primary,4,2,migration,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:13Z,2026-01-22T20:09:18Z
pathway,oxidation,pathway,primary,4,2,oxidation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:20Z,2026-01-22T20:09:05Z
assay,bioavailability,metric,primary,3,3,bioavailability,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:30Z,2026-01-22T20:09:14Z
assay,accuracy,assay,primary,3,1,accuracy,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:11Z,2026-01-22T20:09:11Z
pathway,glycosylation,pathway,primary,3,3,glycosylation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:16Z,2026-01-22T20:09:22Z
indication,DIABETES,disease,primary,3,1,diabetes,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:12Z
assay,clearance,metric,primary,3,2,clearance,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:16Z,2026-01-22T20:08:32Z
pathway,proliferation,pathway,primary,3,3,proliferation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:36Z,2026-01-22T20:09:19Z
assay,microscopy,assay,primary,3,2,microscopy,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:11Z,2026-01-22T20:09:19Z
assay,reproducibility,assay,primary,3,3,reproducibility,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:58Z,2026-01-22T20:09:11Z
stem_cell,stem cell,,primary,3,2,stem cell,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:13Z,2026-01-22T20:09:25Z
assay,retention time,assay,primary,3,1,retention time,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:57Z,2026-01-22T20:07:58Z
model,Endothelial cells,unknown,primary,3,1,Endothelial cells,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:14Z,2026-01-22T20:09:19Z
assay,selectivity,metric,primary,3,1,selectivity,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:42Z,2026-01-22T20:08:46Z
pathway,PROTEOLYSIS,pathway,primary,2,1,proteolysis,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
pathway,UBIQUITINATION,pathway,primary,2,2,ubiquitination,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:58Z,2026-01-22T20:09:22Z
stem_cell,mesenchymal,,primary,2,1,mesenchymal,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:14Z,2026-01-22T20:09:15Z
compound,CALCITONIN,drug,primary,2,1,CALCITONIN,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:49Z,2026-01-22T20:09:01Z
assay,quadrupole,assay,primary,2,2,quadrupole,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:09:10Z
assay,NMR,assay,primary,2,2,NMR,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:22Z
pathway,proteasome,pathway,primary,2,1,proteasome,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:43Z,2026-01-22T20:08:44Z
assay,electrospray ionization,assay,primary,2,2,electrospray ionization,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:59Z,2026-01-22T20:08:02Z
indication,TYPE 2 DIABETES,disease,primary,2,1,type 2 diabetes,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:12Z
assay,precision,assay,primary,2,2,precision,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:08Z,2026-01-22T20:09:11Z
pathway,proteolytic cleavage,pathway,primary,2,2,proteolytic cleavage,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:59Z,2026-01-22T20:09:20Z
target,ELASTASE,protein,primary,1,1,ELASTASE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
assay,precipitation,assay,primary,1,1,precipitation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:59Z,2026-01-22T20:08:59Z
model,CSF,biofluid,primary,1,1,CSF,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:49Z,2026-01-22T20:08:49Z
assay,AUC,metric,primary,1,1,AUC,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:33Z,2026-01-22T20:08:33Z
model,RPMI,unknown,primary,1,1,RPMI,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:16Z,2026-01-22T20:09:16Z
model,Serum-free medium,unknown,primary,1,1,Serum-free medium,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:16Z,2026-01-22T20:09:16Z
stem_cell,stem-cell,,primary,1,1,stem-cell,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:25Z,2026-01-22T20:09:25Z
assay,therapeutic index,metric,primary,1,1,therapeutic index,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:44Z,2026-01-22T20:08:44Z
target,CARRIER PROTEIN,protein,primary,1,1,CARRIER PROTEIN,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:17Z,2026-01-22T20:08:17Z
target,REDUCTASE,protein,primary,1,1,REDUCTASE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:05Z,2026-01-22T20:09:05Z
pathway,peptide cleavage,pathway,primary,1,1,peptide cleavage,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:18Z,2026-01-22T20:08:18Z
assay,repeatability,assay,primary,1,1,repeatability,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:57Z,2026-01-22T20:07:57Z
indication,lung cancer,disease,primary,1,1,lung cancer,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:05Z,2026-01-22T20:08:05Z
compound,ETELCALCETIDE,drug,primary,1,1,ETELCALCETIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
pathway,cell death,pathway,primary,1,1,cell death,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:05Z,2026-01-22T20:08:05Z
compound,PLECANATIDE,drug,primary,1,1,PLECANATIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
indication,HIV,disease,primary,1,1,HIV,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
target,EXOPEPTIDASE,protein,primary,1,1,EXOPEPTIDASE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:14Z,2026-01-22T20:09:14Z
assay,potency,metric,primary,1,1,potency,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:10Z
pathway,amyloid formation,pathway,primary,1,1,amyloid formation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:00Z,2026-01-22T20:09:00Z
assay,ELISA,assay,primary,1,1,ELISA,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:22Z,2026-01-22T20:08:22Z
pathway,reduction,pathway,primary,1,1,reduction,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:20Z,2026-01-22T20:08:20Z
assay,stationary phase,assay,primary,1,1,stationary phase,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:58Z,2026-01-22T20:07:58Z
pathway,MEK,pathway,primary,1,1,MEK,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:44Z,2026-01-22T20:08:44Z
pathway,enzymatic degradation,pathway,primary,1,1,enzymatic degradation,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:23Z,2026-01-22T20:09:23Z
target,EGFR,protein,primary,1,1,EGFR,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:43Z,2026-01-22T20:08:43Z
assay,time-of-flight,assay,primary,1,1,time-of-flight,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
assay,reverse phase chromatography,assay,primary,1,1,reverse phase chromatography,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:58Z,2026-01-22T20:07:58Z
target,LIGASE,protein,primary,1,1,LIGASE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:45Z,2026-01-22T20:08:45Z
model,Mitochondria,unknown,primary,1,1,Mitochondria,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:05Z,2026-01-22T20:08:05Z
target,COX2,protein,primary,1,1,COX2,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:43Z,2026-01-22T20:08:43Z
model,MEM,unknown,primary,1,1,MEM,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:03Z,2026-01-22T20:08:03Z
assay,tandem mass spectrometry,assay,primary,1,1,tandem mass spectrometry,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:06Z,2026-01-22T20:08:06Z
peptide,KYNETWRSED,,primary,1,1,KYNETWRSED,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:22Z,2026-01-22T20:09:22Z
compound,OCTREOTIDE,drug,primary,1,1,OCTREOTIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:04Z,2026-01-22T20:08:04Z
model,In situ,unknown,primary,1,1,In situ,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:09Z,2026-01-22T20:08:09Z
target,KALLIKREIN,protein,primary,1,1,KALLIKREIN,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:34Z,2026-01-22T20:08:34Z
pathway,Ras,pathway,primary,1,1,Ras,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:16Z,2026-01-22T20:08:16Z
indication,anxiety,disease,primary,1,1,anxiety,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:23Z,2026-01-22T20:09:23Z
assay,dynamic range,assay,primary,1,1,dynamic range,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:09:10Z,2026-01-22T20:09:10Z
compound,LINACLOTIDE,drug,primary,1,1,LINACLOTIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
target,THROMBIN,protein,primary,1,1,THROMBIN,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:14Z,2026-01-22T20:08:14Z
model,Bovine serum albumin,unknown,primary,1,1,Bovine serum albumin,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:59Z,2026-01-22T20:08:59Z
assay,ion exchange chromatography,assay,primary,1,1,ion exchange chromatography,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:02Z,2026-01-22T20:08:02Z
compound,ABALOPARATIDE,drug,primary,1,1,ABALOPARATIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:35Z,2026-01-22T20:08:35Z
compound,TERIPARATIDE,drug,primary,1,1,TERIPARATIDE,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:08:31Z,2026-01-22T20:08:31Z
assay,ion trap,assay,primary,1,1,ion trap,biohacking_longevity,Biohacking & Longevity,biohacking_longevity_v1,2026-01-22T20:07:56Z,2026-01-22T20:07:56Z
