entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
material,concrete,,primary,24,3,CONCRETE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:04Z,2026-01-29T20:59:19Z
material,steel,,primary,19,1,STEEL,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:04Z,2026-01-29T20:57:56Z
material,timber,,primary,19,3,GLULAM; TIMBER,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:06Z,2026-01-29T21:00:35Z
material,GLASS,,primary,12,1,GLASS,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:04Z,2026-01-29T20:57:33Z
system,wall,,primary,9,4,WALL,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:06Z,2026-01-29T21:00:35Z
material,masonry,,primary,9,1,BRICK; MASONRY,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:56:04Z,2026-01-29T20:57:56Z
material,insulation,,primary,7,4,INSULATION,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:57:28Z,2026-01-29T21:00:24Z
system,roof,,primary,4,3,ROOF,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:56Z,2026-01-29T20:59:18Z
failure_mode,SCALING,,primary,4,2,SCALING,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:15Z,2026-01-29T20:56:36Z
environment,THERMAL CYCLING,,primary,2,1,THERMAL CYCLING,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:59:38Z,2026-01-29T20:59:40Z
failure_mode,fatigue,,primary,2,1,FATIGUE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:59:38Z,2026-01-29T20:59:40Z
failure_mode,corrosion,,primary,2,2,CORROSION,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:09Z,2026-01-29T20:59:19Z
environment,durability,,primary,2,2,SERVICE LIFE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:33Z,2026-01-29T20:55:56Z
system,CONNECTION,,primary,2,1,CONNECTION,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:58:35Z,2026-01-29T20:58:35Z
failure_mode,LEAKAGE,,primary,1,1,LEAKAGE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:57:42Z,2026-01-29T20:57:42Z
test_method,ASHRAE,,primary,1,1,ASHRAE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:47Z,2026-01-29T20:55:47Z
environment,DESIGN LIFE,,primary,1,1,DESIGN LIFE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:55:56Z,2026-01-29T20:55:56Z
failure_mode,FRACTURE,,primary,1,1,FRACTURE,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:59:38Z,2026-01-29T20:59:38Z
failure_mode,cracking,,primary,1,1,CRACKING,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:59:38Z,2026-01-29T20:59:38Z
system,BEAM,,primary,1,1,BEAM,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:58:42Z,2026-01-29T20:58:42Z
system,WINDOW,,primary,1,1,WINDOW,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T20:57:32Z,2026-01-29T20:57:32Z
system,foundation,,primary,1,1,FOUNDATION,construction_science,Construction Science & Built Environment Physics,construction_science_v1,2026-01-29T21:00:24Z,2026-01-29T21:00:24Z
