entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
compound,METFORMIN,drug,primary,31,4,METFORMIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:02Z
compound,QUERCETIN,drug,primary,15,4,QUERCETIN,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:06:27Z
target,RECEPTOR,protein,primary,14,7,RECEPTOR,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:24Z
stem_cell,differentiation,,primary,11,6,differentiation,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:56Z,2026-02-02T16:08:29Z
target,ACE,protein,primary,9,4,ACE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:56Z,2026-02-02T16:08:24Z
compound,RESVERATROL,drug,primary,6,4,RESVERATROL,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:10Z
stem_cell,stem cell,,primary,6,5,stem cell,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:56Z,2026-02-02T16:08:26Z
target,TNF,protein,primary,6,4,TNF,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:07:49Z
target,IL-6,protein,primary,5,4,IL-6,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:48Z,2026-02-02T16:07:54Z
compound,NAD+,drug,primary,5,1,NAD+,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:03:47Z
target,AMPK,protein,primary,5,4,AMPK,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:26Z
target,AKT,protein,primary,4,4,AKT,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:10Z,2026-02-02T16:08:14Z
compound,GLUCAGON,drug,primary,4,1,GLUCAGON,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:03:45Z
compound,SPERMIDINE,drug,primary,4,1,SPERMIDINE,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:03:48Z
target,TLR4,protein,primary,4,1,TLR4,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:07:43Z,2026-02-02T16:07:48Z
target,MTOR,protein,primary,4,3,MTOR,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:00Z
target,LC3,protein,primary,3,2,LC3,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:06:24Z,2026-02-02T16:08:09Z
target,SIRT1,protein,primary,3,2,SIRT1,methods_tooling,Methods & Tooling,methods_tooling_v1,2026-02-02T16:03:45Z,2026-02-02T16:08:06Z
