entity_type,entity_name,event_count,paper_count,first_seen,last_seen
model,SERUM,72,18,2026-02-02T16:03:55Z,2026-02-02T16:08:29Z
model,Plasma,71,15,2026-02-02T16:03:52Z,2026-02-02T16:08:28Z
model,HUMAN,48,19,2026-02-02T16:03:45Z,2026-02-02T16:08:28Z
model,In vivo,47,13,2026-02-02T16:04:48Z,2026-02-02T16:08:40Z
model,DOGS,41,3,2026-02-02T16:04:24Z,2026-02-02T16:07:07Z
model,MICE,40,14,2026-02-02T16:03:45Z,2026-02-02T16:08:39Z
model,BLOOD,32,12,2026-02-02T16:03:46Z,2026-02-02T16:08:25Z
compound,METFORMIN,31,4,2026-02-02T16:03:45Z,2026-02-02T16:08:02Z
model,Humans,21,11,2026-02-02T16:03:45Z,2026-02-02T16:08:25Z
model,In vitro,18,10,2026-02-02T16:03:45Z,2026-02-02T16:08:29Z
model,Skeletal muscle,18,5,2026-02-02T16:03:47Z,2026-02-02T16:08:28Z
model,Tissue,18,10,2026-02-02T16:05:08Z,2026-02-02T16:08:39Z
model,DOG,16,1,2026-02-02T16:04:24Z,2026-02-02T16:04:36Z
model,Mitochondria,16,6,2026-02-02T16:03:45Z,2026-02-02T16:08:25Z
compound,QUERCETIN,15,4,2026-02-02T16:03:45Z,2026-02-02T16:06:27Z
model,TUMOR,15,6,2026-02-02T16:04:32Z,2026-02-02T16:08:02Z
target,RECEPTOR,14,7,2026-02-02T16:03:45Z,2026-02-02T16:08:24Z
model,Mitochondrial,13,5,2026-02-02T16:03:45Z,2026-02-02T16:08:04Z
model,MOUSE,12,7,2026-02-02T16:03:45Z,2026-02-02T16:08:40Z
stem_cell,differentiation,11,6,2026-02-02T16:03:56Z,2026-02-02T16:08:29Z
model,K562,10,1,2026-02-02T16:04:44Z,2026-02-02T16:04:47Z
target,ACE,9,4,2026-02-02T16:03:56Z,2026-02-02T16:08:24Z
compound,RESVERATROL,6,4,2026-02-02T16:03:45Z,2026-02-02T16:08:10Z
stem_cell,stem cell,6,5,2026-02-02T16:03:56Z,2026-02-02T16:08:26Z
target,TNF,6,4,2026-02-02T16:03:45Z,2026-02-02T16:07:49Z
compound,NAD+,5,1,2026-02-02T16:03:45Z,2026-02-02T16:03:47Z
model,Bovine serum albumin,5,5,2026-02-02T16:04:04Z,2026-02-02T16:07:15Z
target,AMPK,5,4,2026-02-02T16:03:45Z,2026-02-02T16:08:26Z
target,IL-6,5,4,2026-02-02T16:03:48Z,2026-02-02T16:07:54Z
compound,GLUCAGON,4,1,2026-02-02T16:03:45Z,2026-02-02T16:03:45Z
compound,SPERMIDINE,4,1,2026-02-02T16:03:45Z,2026-02-02T16:03:48Z
model,BSA,4,2,2026-02-02T16:04:04Z,2026-02-02T16:07:15Z
model,FBS,4,2,2026-02-02T16:04:51Z,2026-02-02T16:06:21Z
model,Knockout,4,4,2026-02-02T16:06:07Z,2026-02-02T16:08:21Z
model,RATS,4,4,2026-02-02T16:03:47Z,2026-02-02T16:06:55Z
model,T cells,4,1,2026-02-02T16:07:52Z,2026-02-02T16:07:54Z
model,URINE,4,2,2026-02-02T16:04:29Z,2026-02-02T16:08:00Z
