entity_type,entity_name,event_count,paper_count,first_seen,last_seen
environment,TEMPERATURE,1588,48,2026-04-18T02:07:31Z,2026-04-18T03:08:00Z
failure_mode,FAILURE MODE,1512,56,2026-04-18T02:07:32Z,2026-04-18T03:08:03Z
environment,HUMIDITY,921,3,2026-04-18T02:26:54Z,2026-04-18T03:03:44Z
test_method,THERMAL ANALYSIS,905,53,2026-04-18T02:07:31Z,2026-04-18T03:08:03Z
system,INSULATION SYSTEM,761,58,2026-04-18T02:07:31Z,2026-04-18T03:08:03Z
environment,RAIN,701,49,2026-04-18T02:07:37Z,2026-04-18T03:08:03Z
environment,THERMAL CYCLING,622,44,2026-04-18T02:07:52Z,2026-04-18T03:08:03Z
environment,THERMAL SHOCK,621,45,2026-04-18T02:07:52Z,2026-04-18T03:08:03Z
system,STUD,430,56,2026-04-18T02:07:31Z,2026-04-18T03:08:03Z
test_method,YIELD STRENGTH,295,48,2026-04-18T02:07:27Z,2026-04-18T03:08:02Z
hazard,CHEMICAL ATTACK,288,37,2026-04-18T02:07:36Z,2026-04-18T03:07:54Z
test_method,LOAD TEST,278,43,2026-04-18T02:07:29Z,2026-04-18T03:07:54Z
test_method,STRESS TEST,270,43,2026-04-18T02:07:29Z,2026-04-18T03:08:01Z
test_method,TENSILE TEST,235,43,2026-04-18T02:07:29Z,2026-04-18T03:07:54Z
system,BEAM,228,29,2026-04-18T02:07:31Z,2026-04-18T03:07:57Z
test_method,FATIGUE TEST,214,40,2026-04-18T02:07:29Z,2026-04-18T03:07:54Z
test_method,CREEP TEST,210,40,2026-04-18T02:07:29Z,2026-04-18T03:07:54Z
material,POLYMER,171,14,2026-04-18T02:09:53Z,2026-04-18T03:07:46Z
test_method,ULTIMATE STRENGTH,155,36,2026-04-18T02:07:37Z,2026-04-18T03:07:59Z
system,PANEL,146,27,2026-04-18T02:08:26Z,2026-04-18T03:08:01Z
test_method,STRENGTH,135,32,2026-04-18T02:07:37Z,2026-04-18T03:07:51Z
system,WALL,128,24,2026-04-18T02:08:49Z,2026-04-18T03:08:03Z
material,EPS,118,29,2026-04-18T02:07:56Z,2026-04-18T03:08:02Z
failure_mode,PLASTIC HINGE,101,7,2026-04-18T02:09:53Z,2026-04-18T03:07:45Z
hazard,VIBRATION,89,19,2026-04-18T02:07:32Z,2026-04-18T03:07:57Z
material,COMPOSITE,82,8,2026-04-18T03:00:20Z,2026-04-18T03:07:02Z
test_method,MODULUS,82,12,2026-04-18T02:07:48Z,2026-04-18T03:07:46Z
test_method,STIFFNESS,76,7,2026-04-18T03:00:20Z,2026-04-18T03:07:30Z
environment,ENVIRONMENTAL STRESS,72,23,2026-04-18T02:07:48Z,2026-04-18T03:08:01Z
system,FOUNDATION,69,34,2026-04-18T02:12:55Z,2026-04-18T03:07:59Z
environment,UV,66,20,2026-04-18T02:09:47Z,2026-04-18T03:07:30Z
failure_mode,INSTABILITY,66,14,2026-04-18T03:01:29Z,2026-04-18T03:07:44Z
test_method,TENSION,64,15,2026-04-18T02:09:48Z,2026-04-18T03:08:02Z
material,GLASS,63,14,2026-04-18T02:09:53Z,2026-04-18T03:07:46Z
environment,WIND,54,23,2026-04-18T02:09:19Z,2026-04-18T03:07:57Z
