entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
metformin,compound,drug,31,38.73,promising,77.55,strong
nad+,compound,drug,5,7.30,promising,16.60,strong
spermidine,compound,drug,4,5.90,exploratory,11.80,strong
glucagon,compound,drug,4,5.55,exploratory,10.10,strong
human,model,organism,45,112.72,strong,28.23,stalled
cardiovascular disease,indication,disease,2,4.00,exploratory,4.00,exploratory
cancer,indication,disease,38,98.99,strong,98.68,strong
mouse,model,organism,11,29.68,strong,14.34,promising
humans,model,organism,18,54.83,strong,13.42,stalled
mice,model,organism,31,75.13,strong,37.24,promising
ampk,target,protein,5,6.70,promising,6.50,promising
mitochondrial,model,unknown,13,27.15,strong,13.54,exploratory
senescence,pathway,pathway,11,27.13,strong,13.02,exploratory
rapamycin,compound,drug,36,50.05,promising,97.21,strong
nmn,compound,drug,1,1.50,deprioritized,3.00,stalled
sirt6,target,protein,2,3.00,stalled,4.00,exploratory
mitochondria,model,unknown,15,39.80,strong,20.23,promising
sirt1,target,protein,3,3.80,stalled,4.47,exploratory
mtor,target,protein,3,4.50,exploratory,4.50,exploratory
mtor,pathway,pathway,3,7.50,promising,4.50,exploratory
dna repair,pathway,pathway,2,4.00,exploratory,3.00,stalled
resveratrol,compound,drug,6,7.20,promising,14.73,strong
quercetin,compound,drug,15,18.54,promising,37.08,strong
in vitro,model,unknown,15,37.02,strong,8.06,stalled
secretion,pathway,pathway,2,5.07,exploratory,2.53,stalled
obesity,indication,disease,7,17.86,strong,18.00,strong
pancreatic islets,model,unknown,1,2.00,stalled,1.00,deprioritized
receptor,target,protein,9,8.44,exploratory,9.22,exploratory
tnf,target,protein,5,6.69,promising,6.49,promising
apoptosis,pathway,pathway,7,16.88,strong,8.08,exploratory
inflammation,indication,disease,7,19.12,strong,16.98,strong
neurodegeneration,indication,disease,3,6.67,promising,6.00,promising
diabetes,indication,disease,9,25.77,strong,26.43,strong
stroke,indication,disease,3,6.00,promising,6.00,promising
bdnf,target,protein,1,1.50,deprioritized,1.50,deprioritized
osteoarthritis,indication,disease,3,7.50,promising,7.00,promising
parkinson,indication,disease,5,16.60,strong,18.40,strong
pain,indication,disease,2,5.00,exploratory,5.00,exploratory
liraglutide,compound,drug,1,1.00,deprioritized,2.50,stalled
semaglutide,compound,drug,1,1.00,deprioritized,2.50,stalled
dulaglutide,compound,drug,2,3.00,stalled,5.00,exploratory
