entity_name,entity_type,entity_variant,event_count,science_research_v1_score,science_research_v1_bucket,biohacking_curiosity_v1_score,biohacking_curiosity_v1_bucket
serum,model,biofluid,264,599.55,strong,150.02,stalled
nad+,compound,drug,5,7.30,promising,16.60,strong
metformin,compound,drug,34,43.45,promising,86.37,strong
glucagon,compound,drug,5,6.80,promising,12.40,strong
spermidine,compound,drug,4,5.90,exploratory,11.80,strong
human,model,organism,365,799.69,strong,199.73,stalled
cardiovascular disease,indication,disease,4,8.00,strong,8.00,strong
cancer,indication,disease,181,407.56,strong,406.86,strong
humans,model,organism,50,120.26,strong,29.69,stalled
mouse,model,organism,111,258.46,strong,128.90,exploratory
mice,model,organism,249,567.09,strong,283.28,exploratory
ampk,target,protein,17,19.28,exploratory,19.46,exploratory
mitochondrial,model,unknown,67,142.37,strong,71.29,exploratory
senescence,pathway,pathway,14,35.31,strong,17.44,promising
rapamycin,compound,drug,56,68.25,promising,134.99,strong
nmn,compound,drug,1,1.50,deprioritized,3.00,stalled
sirt6,target,protein,7,11.36,strong,10.64,promising
mitochondria,model,unknown,46,114.58,strong,57.51,promising
mtor,target,protein,63,75.64,promising,74.84,exploratory
sirt1,target,protein,6,7.13,exploratory,7.13,exploratory
mtor,pathway,pathway,63,150.34,strong,74.84,exploratory
dna repair,pathway,pathway,5,11.20,strong,5.20,exploratory
quercetin,compound,drug,9,12.26,promising,25.74,strong
resveratrol,compound,drug,3,3.80,stalled,7.60,promising
in vitro,model,unknown,191,439.03,strong,108.55,stalled
secretion,pathway,pathway,22,54.18,strong,26.73,promising
obesity,indication,disease,18,46.29,strong,46.34,strong
pancreatic islets,model,unknown,2,5.00,exploratory,3.00,stalled
receptor,target,protein,128,147.61,exploratory,146.77,exploratory
tnf,target,protein,48,59.71,promising,59.15,promising
apoptosis,pathway,pathway,46,100.87,strong,50.12,exploratory
inflammation,indication,disease,60,148.99,strong,147.94,strong
neurodegeneration,indication,disease,23,50.87,strong,50.39,strong
diabetes,indication,disease,31,80.86,strong,80.76,strong
stroke,indication,disease,69,161.35,strong,160.77,strong
bdnf,target,protein,12,15.83,promising,14.91,promising
osteoarthritis,indication,disease,7,15.43,strong,15.14,strong
parkinson,indication,disease,39,95.07,strong,94.38,strong
