entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,domain_id,domain_name,overlay_id,first_seen,last_seen
neural_cell,microglia,cell_type,primary,320,27,microglia,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:50:20Z
neural_cell,astrocytes,cell_type,primary,264,29,astrocytes,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:50:20Z
neural_cell,neurons,cell_type,primary,232,53,neurons,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:51:30Z
neural_cell,astrocyte,cell_type,primary,176,27,astrocyte,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:50:35Z
neural_cell,neuronal,cell_type,primary,117,41,neuronal,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:51:43Z
indication,ALZHEIMER,disease,primary,116,23,Alzheimer; Alzheimer's disease,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:52:06Z
neural_cell,microglial,cell_type,primary,92,23,microglial,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:50Z,2026-01-23T12:50:18Z
target,RECEPTOR,protein,primary,84,37,RECEPTOR,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:54Z,2026-01-23T12:51:43Z
neural_cell,neuron,cell_type,primary,73,33,neuron,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:51:43Z
indication,stroke,disease,primary,59,8,stroke,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:52:04Z
model,CSF,biofluid,primary,58,13,CSF,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:49:44Z
neural_cell,astrocytic,cell_type,primary,52,13,astrocytic,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:48Z,2026-01-23T12:50:19Z
target,TNF,protein,primary,47,14,TNF,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:49:15Z
pathway,cell death,pathway,primary,42,19,cell death,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:07Z,2026-01-23T12:49:33Z
indication,dementia,disease,primary,42,13,dementia,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:52:06Z
assay,efficacy,metric,primary,40,16,efficacy,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:48:54Z
indication,multiple sclerosis,disease,primary,40,7,multiple sclerosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:54Z,2026-01-23T12:47:35Z
indication,inflammation,disease,primary,38,20,inflammation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:26Z,2026-01-23T12:50:19Z
assay,microscopy,assay,primary,36,11,microscopy,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:38Z,2026-01-23T12:48:22Z
model,Cerebrospinal fluid,biofluid,primary,36,9,Cerebrospinal fluid,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:36:41Z,2026-01-23T12:49:40Z
target,TNF-Α,protein,primary,35,10,TNF-Α,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:49:15Z
indication,PARKINSON,disease,primary,31,12,Parkinson; Parkinson's disease,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:52:05Z
pathway,NF-κB,pathway,primary,29,5,NF-κB,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:04Z,2026-01-23T12:48:49Z
target,NF-ΚB,protein,primary,29,5,NF-ΚB,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:04Z,2026-01-23T12:48:49Z
assay,immunofluorescence,assay,primary,27,9,immunofluorescence,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:49Z,2026-01-23T12:51:43Z
pathway,reduction,pathway,primary,27,15,reduction,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:52:01Z
pathway,Wnt,pathway,primary,27,2,Wnt,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:09Z,2026-01-23T12:43:17Z
stem_cell,differentiation,,primary,26,17,differentiation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:54Z,2026-01-23T12:51:35Z
model,Transgenic,unknown,primary,24,13,Transgenic,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:37Z,2026-01-23T12:51:35Z
indication,autoimmune,disease,primary,20,9,autoimmune,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:54Z,2026-01-23T12:49:15Z
indication,neurodegenerative disease,disease,primary,20,5,neurodegenerative disease,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:38:57Z,2026-01-23T12:50:52Z
model,Mitochondrial,unknown,primary,19,7,Mitochondrial,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:57Z,2026-01-23T12:48:58Z
target,IL-1Β,protein,primary,18,9,IL-1Β,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:28:05Z,2026-01-23T12:49:08Z
assay,clearance,metric,primary,18,7,clearance,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:06Z,2026-01-23T12:48:56Z
model,Drosophila,unknown,primary,18,6,Drosophila,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:18Z,2026-01-23T12:50:12Z
target,KINASE,protein,primary,17,13,KINASE,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:48:41Z
pathway,PHOSPHORYLATION,pathway,primary,17,8,phosphorylation,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:34:48Z,2026-01-23T12:49:49Z
indication,neurodegeneration,disease,primary,17,12,neurodegeneration,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:57Z,2026-01-23T12:52:06Z
stem_cell,iPSC,,primary,17,6,IPSC,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:44:06Z
indication,depression,disease,primary,17,11,depression,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:31:25Z,2026-01-23T12:50:27Z
pathway,APOPTOSIS,pathway,primary,15,8,apoptosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:29:49Z,2026-01-23T12:48:58Z
indication,CANCER,disease,primary,14,12,cancer,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:51:45Z
stem_cell,stem cell,,primary,14,8,stem cell,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:48:37Z
model,Rabbit,unknown,primary,14,6,Rabbit,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:21Z,2026-01-23T12:49:22Z
assay,reproducibility,assay,primary,13,7,reproducibility,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:27:36Z,2026-01-23T12:49:43Z
indication,infection,disease,primary,13,10,infection,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:14Z,2026-01-23T12:48:47Z
target,IL-6,protein,primary,12,8,IL-6,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:49Z,2026-01-23T12:48:30Z
pathway,transcription,pathway,primary,12,10,transcription,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:00Z,2026-01-23T12:51:10Z
pathway,AUTOPHAGY,pathway,primary,12,6,autophagy,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:22:57Z,2026-01-23T12:48:58Z
model,Mitochondria,unknown,primary,12,7,Mitochondria,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:30:10Z,2026-01-23T12:48:58Z
pathway,phagocytosis,pathway,primary,12,8,phagocytosis,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:20Z,2026-01-23T12:48:55Z
assay,precision,assay,primary,12,7,precision,neuroscience_cognition,Neuroscience & Cognition,neuroscience_cognition_v1,2026-01-23T12:23:29Z,2026-01-23T12:46:08Z
