pdf_name,page,sentence,lens,event_type,outcome,confidence,context_strength,source_weight,tags,entities
048793376e84cfc9a50cfdeba112497b.pdf,19,"The energy changes due to thermal conduction (𝐸̇ ) is written considering k, A , and 𝛥𝑇 as the 𝑐𝑜𝑛𝑑𝑢𝑐𝑡𝑖𝑜𝑛 c thermal conductivity of aqueous solution, base area of the droplet, and temperature difference caused due to the cooling by evaporation, respectively: 𝛥𝑇 (2) 𝐸̇ = 𝑘 𝐴 𝑐𝑜𝑛𝑑𝑢𝑐𝑡𝑖𝑜𝑛 𝐶 ℎ 𝑑𝜎 Now, the temperature difference across the droplet is expressed considering µ, h , 𝜎 = , C , and 𝑥̇ fg 𝑇 p 𝑑𝑇 as the dynamic viscosity, enthalpy of evaporation, thermal surface tension gradient, heat capacity, and time derivative of the characteristic length, respectively.",building_physics,building_physics_performance,neutral,med,moderate,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""thermal conductivity"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
06a07821b80851b51ee847500ce227f1.pdf,29,Thermal material parameters of the individual components Components Material Specific heat capacity (kNmm) Thermal conductivity ( W ) kgK mK Substrate Steel 484 15 Interlayer Elastomer 1619 0.18 Thermoplastic Anchorclip 1200 0.24 polymer Crimpbar Brass 377 113 Resinlayer Resin 1289 0.2,building_physics,building_physics_performance,neutral,med,moderate,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""thermal conductivity"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
19c8641eb0ac6abaff65e3ca55e3935f.pdf,3,"Plasticization of chitosan with glycerol has been attributed to the dis- ruption of glucosamine intramolecular hydrogen bonds with insights from attenuated total reflectance-Fourier transform infrared spectroscopy (ATR-FTIR) and nuclear magnetic res- onance (NMR).38 However, the proposed mechanism does not account for the role of water despite the high moisture uptake of chitosan at ambient conditions.40,41 Furthermore, this mechanism focuses on the glucosamine monomer assemblies and may not translate to the chitosan polymer, where intermolecular interactions are expected to play a more significant role.",building_physics,building_physics_performance,neutral,med,moderate,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""moisture"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
19c8641eb0ac6abaff65e3ca55e3935f.pdf,5,These molecular insights help understand the moisture-dependent behavior of diverse biopolymer systems and enable guided design of polymer-additive formulations with tailored properties.,building_physics,building_physics_performance,neutral,low,weak,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""moisture"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
19c8641eb0ac6abaff65e3ca55e3935f.pdf,31,Antiplasticization by Water in Reduced- Moisture Food Systems.,building_physics,building_physics_performance,neutral,low,weak,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""moisture"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
19c8641eb0ac6abaff65e3ca55e3935f.pdf,36,"Effect of equilibrium moisture content on barrier, me- chanical and thermal properties of chitosan films.",building_physics,building_physics_performance,neutral,low,weak,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""moisture"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,10,"Vents Unless a home has been built with an unvented design, unconditioned areas (e.g., attic and crawl spaces) must be ventilated to avoid elevated moisture and temperature conditions.",building_physics,building_physics_performance,neutral,med,weak,0.90,building_physics_performance|has_component,"[{""entity_type"": ""building_component"", ""entity_name"": ""attic"", ""entity_variant"": ""component"", ""role"": ""context""}, {""entity_type"": ""physics_metric"", ""entity_name"": ""moisture"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
34444b25e66fd1189b4ff2101056ae6352ab55760bd9fe763d86bce8e3a7abdf.pdf,25,"Cohen (1995) exposed different types of windows to heat flux intensities of 9.3 kW/m2 , 13.6 kW/m2, and 17.7 kW/m2.",building_physics,building_physics_performance,neutral,med,strong,0.90,building_physics_performance|has_units,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""heat flux"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
5986e755707ef34b6b702a742cda2eae3028ac2217dbdb9ce88102b3a60bf0ca.pdf,35,Temperature was maintained at 21–24 °C with 40–60% relative humidity under a 12/12 h light/dark cycle.,building_physics,building_physics_performance,neutral,med,strong,0.90,building_physics_performance|has_units,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""relative humidity"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
5adfc26b348c065e12ac3d58909f1bc2.pdf,1,"A critical assessment of bonding descriptors for predicting ma- terials properties Aakash Ashok Naik Nidal Dhamrait Katharina Ueltzen Christina Ertural Philipp Benner Gian- Marco Rignanese Janine George* Aakash Ashok Naik, Katharina Ueltzen, Prof. Dr. Janine George Address Department of Materials Chemistry, Federal Institute for Materials Research and Testing, Berlin, 12205, Germany Institute of Condensed Matter Theory and Optics, Friedrich Schiller University Jena, Jena, 10587, Ger- many Email Address: janine.george@bam.de Nidal Dhamrait, Dr. Christina Ertural Address Department of Materials Chemistry, Federal Institute for Materials Research and Testing, Berlin, 12205, Germany Dr. Philipp Benner Address eScience Group, Federal Institute for Materials Research and Testing, Berlin, 12205, Germany Prof. Dr. Gian-Marco Rignanese Address Institute of Condensed Matter and Nanosciences (IMCN), UCLouvain, Louvain-la-Neuve, 1348, Belgium Keywords: Bonding descriptors, Machine learning, Symbolic regression, Thermal Conductivity, Phonons Most machine learning models for materials science rely on descriptors based on materials compositions and structures, even though the chemical bond has been proven to be a valuable concept for predicting materials properties.",building_physics,building_physics_performance,neutral,med,moderate,0.90,building_physics_performance,"[{""entity_type"": ""physics_metric"", ""entity_name"": ""thermal conductivity"", ""entity_variant"": ""metric"", ""role"": ""measurement""}]"
