entity_type,entity_name,entity_variant,role,event_count,paper_count,original_variants,first_seen,last_seen
assay,LC-MS,assay,primary,85,7,LC-MS; LC-MS/MS; QTOF; mass spectrometer; mass spectrometry; triple quadrupole,2026-01-22T20:07:55Z,2026-01-22T20:09:22Z
pathway,AGGREGATION,pathway,primary,24,5,aggregation,2026-01-22T20:08:03Z,2026-01-22T20:09:23Z
assay,HPLC,assay,primary,19,5,HPLC; RP-HPLC; liquid chromatography,2026-01-22T20:07:55Z,2026-01-22T20:09:23Z
assay,QUANTIFICATION,assay,primary,16,4,quantification; quantitation,2026-01-22T20:07:55Z,2026-01-22T20:09:19Z
assay,CHROMATOGRAPHY,assay,primary,15,5,chromatography,2026-01-22T20:07:55Z,2026-01-22T20:09:15Z
stem_cell,MSC,,primary,11,1,MSC,2026-01-22T20:09:14Z,2026-01-22T20:09:19Z
compound,SEMAGLUTIDE,drug,primary,10,2,SEMAGLUTIDE,2026-01-22T20:08:32Z,2026-01-22T20:09:12Z
assay,PURIFICATION,assay,primary,10,4,SPE; purification,2026-01-22T20:07:55Z,2026-01-22T20:09:14Z
pathway,PEPTIDE DEGRADATION,pathway,primary,9,2,peptide degradation,2026-01-22T20:07:55Z,2026-01-22T20:09:19Z
target,KINASE,protein,primary,8,2,KINASE,2026-01-22T20:08:16Z,2026-01-22T20:08:46Z
indication,CANCER,disease,primary,8,4,cancer,2026-01-22T20:08:05Z,2026-01-22T20:09:22Z
compound,GLUCAGON,drug,primary,8,3,GLUCAGON,2026-01-22T20:08:02Z,2026-01-22T20:09:12Z
assay,affinity,metric,primary,7,4,affinity,2026-01-22T20:07:57Z,2026-01-22T20:09:13Z
compound,LIRAGLUTIDE,drug,primary,7,5,LIRAGLUTIDE,2026-01-22T20:08:06Z,2026-01-22T20:09:11Z
pathway,ACETYLATION,pathway,primary,7,2,acetylation,2026-01-22T20:09:18Z,2026-01-22T20:09:23Z
target,RECEPTOR,protein,primary,6,4,RECEPTOR,2026-01-22T20:08:14Z,2026-01-22T20:09:12Z
